Invoice List by Date,,,,,,,
Bandwear.com Inc.,,,,,,,
"January-December, 2026",,,,,,,

Date,Transaction type,Num,Name,Memo/Description,Due date,Amount,Open balance
01/22/2026,Invoice,22949,Miss Nellie's,Miss Nellie's Domino Matchbook REORDER,01/22/2026,"2,065.25",0.00
01/22/2026,Invoice,22950,Erykah Badu,Erykah Badu I Was There And I Still Feel It Tee,01/22/2026,412.10,412.10
01/22/2026,Invoice,22951,Hand Drawn Pressing,,01/22/2026,95.00,0.00
01/23/2026,Invoice,22952,Nothing More,Nothing More Carnal Gold Foil Screen Printed Poster REORDER,01/30/2026,"4,663.00",0.00
01/26/2026,Invoice,22954,Crystal Clear (Customer),,02/25/2026,47.50,47.50
01/29/2026,Invoice,22955,Gunner Black Co.,Justin Furstenfeld I Laugh At Myself Sweatshirt,02/13/2026,"2,145.12","2,145.12"
01/30/2026,Invoice,22956,Warrant,Warrant Converse Logo Tee REORDER,02/03/2026,"3,571.46",0.00
01/30/2026,Invoice,22957,Warrant,Warrant Monochrome Pose Photo Tee REORDER,02/03/2026,"1,903.42",0.00
01/30/2026,Invoice,22958,Warrant,Warrant Crown Skull Women's V-Neck - Pink Print - REORDER,02/03/2026,907.58,0.00
01/30/2026,Invoice,22959,Warrant,Warrant Hollywood Cherry Women's V-Neck Tee REORDER,02/03/2026,860.58,0.00
01/30/2026,Invoice,22960,Nothing More,Nothing More Scorpion CREW Hoodie REORDER,02/18/2026,"1,702.94","1,702.94"
01/30/2026,Invoice,22961,Nothing More,Nothing More Classic Logo Crystal Tie-Dyed Tee REORDER,02/16/2026,"1,304.05",0.00
01/30/2026,Invoice,22962,Nothing More,Nothing More Flight Keytag REORDER,02/16/2026,"1,383.28","1,383.28"
01/30/2026,Invoice,22963,River House Artists,River House Artists Hopetown Songwriters Festival Tee 2026,02/09/2026,"2,041.76",0.00
01/30/2026,Invoice,22964,River House Artists,River House Artists Hopetown Songwriters Festival Long Sleeve Tee 2026,02/09/2026,"2,507.27",0.00
01/30/2026,Invoice,22965,Shopify - Mynd Reader,Mynd Reader Logo Tee & Hoodie,02/03/2026,"1,766.66",0.00
01/31/2026,Invoice,Q202601-6654,Sonny Lombardozzi,,01/31/2026,396.91,0.00
01/31/2026,Invoice,F21398,Andy Timmons,,02/07/2026,399.18,399.18
01/31/2026,Invoice,F21399,Shopify - Heavy Metal Magazine,,02/07/2026,"30,986.38","30,986.38"
01/31/2026,Invoice,F21400,Shopify - Engelbert Humperdinck,,02/07/2026,43.00,43.00
01/31/2026,Invoice,F21401,What School Could Be?,,02/07/2026,439.79,0.00
01/31/2026,Invoice,F21402,Shopify - Tower Records,,02/07/2026,164.38,164.38
01/31/2026,Invoice,F21403,URComped,,02/07/2026,"6,506.52",0.00
01/31/2026,Invoice,F21404,Nothing More,,02/07/2026,"4,057.23",0.00
01/31/2026,Invoice,F21405,Shopify - Semisonic,,02/07/2026,1.75,0.00
01/31/2026,Invoice,F21406,Home Free,,02/07/2026,19.35,0.00
01/31/2026,Invoice,F21407,Shopify - Changeland,,02/07/2026,33.23,33.23
01/31/2026,Invoice,F21408,Shopify - Gentle Giant,,02/07/2026,481.07,481.07
01/31/2026,Invoice,F21409,Shopify - PRN Alumni Foundation,,02/07/2026,27.65,27.65
01/31/2026,Invoice,F21410,Shopify - PRN Alumni Foundation,,02/07/2026,27.65,27.65
01/31/2026,Invoice,F21412,Shopify - TNT Recordings,,02/07/2026,70.25,70.25
01/31/2026,Invoice,F21413,Shopify - TNT Recordings,,02/07/2026,70.25,70.25
01/31/2026,Invoice,F21414,Shopify - Monique Billings,,02/07/2026,4.30,4.30
01/31/2026,Invoice,F21415,Bandcamp - Heavy Metal Store,,02/07/2026,191.90,0.00
01/31/2026,Invoice,F21416,Bandcamp - Chrystabell,,02/07/2026,349.74,349.74
01/31/2026,Invoice,F21417,Shopify - Violetta Zironi,,02/07/2026,20.60,0.00
01/31/2026,Invoice,F21418,Bandcamp - Laura Ainsworth,,02/07/2026,7.00,0.00
01/31/2026,Invoice,F21419,Bandcamp - 800 Pound Gorilla Records,,02/07/2026,19.05,19.05
01/31/2026,Invoice,F21420,Shopify - Mela Lee,,02/07/2026,27.10,27.10
01/31/2026,Invoice,F21421,Shopify - 800 Pound Gorilla,,02/07/2026,301.67,301.67
01/31/2026,Invoice,F21422,The Orion Experience,,02/07/2026,34.19,34.19
01/31/2026,Invoice,F21423,The Call,,02/07/2026,36.67,0.00
01/31/2026,Invoice,F21424,Mixto Records,,02/07/2026,353.74,353.74
01/31/2026,Invoice,F21425,Mixto Records,,02/07/2026,0.00,0.00
01/31/2026,Invoice,F21426,The Call,,02/07/2026,63.60,0.00
01/31/2026,Invoice,F21427,Shopify - Kazimi,,02/07/2026,55.75,0.00
01/31/2026,Invoice,F21428,Yasiin Bey,,02/07/2026,159.05,159.05
01/31/2026,Invoice,F21429,Jade Cicada,,02/07/2026,10.37,0.00
01/31/2026,Invoice,F21430,Special Projects - OK Go - PGO,,02/07/2026,99.83,0.00
01/31/2026,Invoice,F21431,Shopify - OK Go,,02/07/2026,"1,507.37",0.00
01/31/2026,Invoice,F21432,Bandcamp - Pete Droge,,02/07/2026,140.98,0.00
01/31/2026,Invoice,F21433,Shopify - Mixtape Meditation,,02/07/2026,56.58,0.00
01/31/2026,Invoice,F21434,Bandcamp - Mixtape Meditation,,02/07/2026,32.73,0.00
01/31/2026,Invoice,F21435,Shopify - Mynd Reader,,02/07/2026,50.25,0.00
01/31/2026,Invoice,F21436,Bandcamp - Flying Mojito Bros,,02/07/2026,81.66,0.00
01/31/2026,Invoice,F21437,Shopify - Mad About It,,02/07/2026,238.71,238.71
02/04/2026,Invoice,22966,Warrant,Warrant Turn Up The Good Times 2026 Tour Koozie,02/05/2026,469.17,0.00
02/04/2026,Invoice,22967,Gunner Black Co.,Justin Furstenfeld Free Shipping Card,02/18/2026,143.11,143.11
02/04/2026,Invoice,22968,7 Pepper Gunns LLC,Blue October Getaways-Poster and JF Guitar-Giveaway Poster,02/18/2026,671.52,671.52
02/04/2026,Invoice,22969,Nep,NEP Headphone Girl 2026 Tour Tee,03/06/2026,"2,979.64","2,979.64"
02/04/2026,Invoice,22970,Nep,NEP Headphone Girl 2026 Tour Hoodie,03/06/2026,"3,424.67","3,424.67"
02/04/2026,Invoice,22971,Nothing More,"Nothing More Spirits Album Cover Tee REORDER - Comfort Colors, no sleeve print",02/18/2026,"1,439.97","1,439.97"
02/04/2026,Invoice,22972,Harbour AM,,02/04/2026,500.00,0.00
02/04/2026,Invoice,22973,Ok Go,,02/04/2026,"4,116.46",0.00
02/05/2026,Invoice,22974,River House Artists,River House Artists Hopetown Songwriters Festival Hats 2026,02/09/2026,"1,315.69",0.00
TOTAL,,,,,,"$183,358.40","$48,176.47"



" Thursday, February 05, 2026 11:57 PM GMT-06:00",,,,,,,
