Invoice List by Date,,,,,,,
Bandwear.com Inc.,,,,,,,
"January-December, 2026",,,,,,,

Date,Transaction type,Num,Name,Memo/Description,Due date,Amount,Open balance
01/05/2026,Invoice,22915,Beyond The Pale NYC,Beyond The Pale NYC Armada Tulip Pub Glass REORDER,01/05/2026,541.79,0.00
01/07/2026,Invoice,22917,Gunner Black Co.,Justin Furstenfeld Signature Hat,01/30/2026,"5,170.75",0.00
01/08/2026,Invoice,22916,Delta Charlie,Delta Charlie Tulip Glasses - Walking Logo and Lettering Logo - WHITE Imprint,01/09/2026,984.09,0.00
01/08/2026,Invoice,22918,People R Ugly,People R Ugly GARAGE Tee Reorder (different blank),01/09/2026,524.86,0.00
01/08/2026,Invoice,22919,They Might Be Giants,They Might Be Giants Homestar Runner Tee MAROON BLANKS REORDER - Men/Unisex,01/09/2026,"3,609.03",0.00
01/08/2026,Invoice,22920,They Might Be Giants,They Might Be Giants Homestar Runner Tee MAROON BLANKS REORDER - Women's Tee,01/09/2026,722.79,0.00
01/08/2026,Invoice,22921,They Might Be Giants,They Might Be Giants Homestar Runner Tee MAROON BLANKS REORDER - Youth Tee,01/09/2026,499.85,0.00
01/08/2026,Invoice,22922,Bandcamp - Heavy Metal Store,,01/15/2026,385.71,0.00
01/09/2026,Invoice,22923,Hand Drawn Pressing,,01/09/2026,95.00,0.00
01/09/2026,Invoice,22924,Gunner Black Co.,Justin Furstenfeld I Laugh At Myself Open Book Tour 2026 Poster,01/30/2026,603.12,0.00
01/09/2026,Invoice,22925,Gunner Black Co.,Justin Furstenfeld I Laugh At Myself Tour Tee 2026,01/30/2026,"10,331.83",0.00
01/09/2026,Invoice,22926,Gunner Black Co.,Justin Furstenfeld Into The Ocean Lyric Tee,01/30/2026,"6,931.86",0.00
01/09/2026,Invoice,22927,Gunner Black Co.,Justin Furstenfeld I Laugh At Myself 2026 Store Tee,01/30/2026,855.08,0.00
01/09/2026,Invoice,22928,Gunner Black Co.,Gunner Black Furstenfeld Skull Mythology Women's V-Neck REORDER,01/30/2026,"5,210.31",0.00
01/09/2026,Invoice,22929,Nothing More,Nothing More Radial - Spirits Symbol Zip Hoodie REORDER,01/23/2026,"1,708.75",0.00
01/09/2026,Invoice,22930,Nothing More,Nothing More Fade In Fade Out Pullover Hoodie REORDER,01/23/2026,"1,745.46",0.00
01/12/2026,Invoice,22931,Beauty School Dropout,Beauty School Dropout Butterfly Hoodie REORDER,01/23/2026,"2,984.43",0.00
01/13/2026,Invoice,22932,Renee Christine,Renee Christine Cursive Logo Sticker,01/16/2026,686.28,0.00
01/13/2026,Invoice,22933,Jim Cocke,Jim Cocke Estimate Test 2 2026,02/12/2026,936.03,36.03
01/14/2026,Invoice,22935,Tauk,Tauk Est 2012 Oyster Bay NY Tee REORDER,01/19/2026,"1,285.48",0.00
01/14/2026,Invoice,22936,Tauk,Tauk Blue Spruce Long Sleeve Tee REORDER,01/19/2026,"1,669.45",0.00
01/14/2026,Invoice,22937,Nothing More,Nothing More Carnal Deluxe Silver Crystal Wash Tee REORDER,01/23/2026,"1,226.94",0.00
01/14/2026,Invoice,22938,Lake Travis High School Theatre Arts,Lake Travis High School Theatre Arts 2026 Mary Poppins Tee,01/19/2026,724.21,0.00
01/16/2026,Invoice,22940,Gunner Black Co.,Justin Furstenfeld 2026 It's Just Me Tour Playbill,01/30/2026,"7,148.82",0.00
01/19/2026,Invoice,22934,Renee Christine,Renee Christine Appalachia Tee,01/21/2026,"2,987.71",0.00
01/19/2026,Invoice,22941,Tauk,Tauk Garment Dyed Khaki Bucket Hat REORDER,01/23/2026,781.02,0.00
01/19/2026,Invoice,22942,Tauk,TAUK Green/Khaki FUNK Hat REORDER,01/23/2026,"1,742.22",0.00
01/19/2026,Invoice,22943,Andy Timmons,Andy Timmons Band Tee,01/19/2026,"1,431.56",0.00
01/19/2026,Invoice,22944,Nothing More,Nothing More Carnal Deluxe Ivory Hoodie REORDER,01/30/2026,"3,570.60",0.00
01/19/2026,Invoice,22945,Nothing More,Nothing More Carnal Deluxe 12x12 Poster Flat REORDER,01/23/2026,819.76,0.00
01/20/2026,Invoice,22946,Gunner Black Co.,Gunner Black Furstenfeld Skull Mythology Tee And Hoodie New Back Art for 2026 Tour - REORDER,02/03/2026,"22,679.92",0.00
01/21/2026,Invoice,22947,Sammy Rae,Sammy Rae and Friends Crewneck Sweatshirt REORDER,01/23/2026,985.16,0.00
01/21/2026,Invoice,22948,Hand Drawn Pressing,Hand Drawn Pressing Marc Maron Sticker HDP9412,01/28/2026,360.89,0.00
01/22/2026,Invoice,22939,Prophets and Outlaws,Prophets and Outlaws Patch Hat,01/22/2026,"1,413.01",0.00
